player_display_name,recent_team,season,week,season_type,fantasy_points
Robbie Gould,SF,2022,1,REG,4.0
Robbie Gould,SF,2022,2,REG,9.0
Robbie Gould,SF,2022,3,REG,6.0
Robbie Gould,SF,2022,4,REG,6.0
Robbie Gould,SF,2022,5,REG,7.0
Robbie Gould,SF,2022,6,REG,2.0
Robbie Gould,SF,2022,7,REG,14.0
Robbie Gould,SF,2022,8,REG,7.0
Robbie Gould,SF,2022,10,REG,10.0
Robbie Gould,SF,2022,11,REG,8.0
Robbie Gould,SF,2022,12,REG,8.0
Robbie Gould,SF,2022,13,REG,18.0
Robbie Gould,SF,2022,14,REG,5.0
Robbie Gould,SF,2022,15,REG,3.0
Robbie Gould,SF,2022,16,REG,13.0
Robbie Gould,SF,2022,17,REG,14.0
Robbie Gould,SF,2022,18,REG,8.0
Matt Prater,ARI,2022,1,REG,1.0
Matt Prater,ARI,2022,2,REG,1.0
Matt Prater,ARI,2022,3,REG,14.0
Matt Prater,ARI,2022,4,REG,8.0
Matt Prater,ARI,2022,8,REG,9.0
Matt Prater,ARI,2022,9,REG,3.0
Matt Prater,ARI,2022,11,REG,5.0
Matt Prater,ARI,2022,12,REG,7.0
Matt Prater,ARI,2022,14,REG,7.0
Matt Prater,ARI,2022,15,REG,14.0
Matt Prater,ARI,2022,16,REG,14.0
Matt Prater,ARI,2022,17,REG,15.0
Matt Prater,ARI,2022,18,REG,1.0
Nick Folk,NE,2022,1,REG,1.0
Nick Folk,NE,2022,2,REG,5.0
Nick Folk,NE,2022,3,REG,10.0
Nick Folk,NE,2022,4,REG,6.0
Nick Folk,NE,2022,5,REG,18.0
Nick Folk,NE,2022,6,REG,8.0
Nick Folk,NE,2022,7,REG,2.0
Nick Folk,NE,2022,8,REG,21.0
Nick Folk,NE,2022,9,REG,17.0
Nick Folk,NE,2022,11,REG,4.0
Nick Folk,NE,2022,12,REG,15.0
Nick Folk,NE,2022,13,REG,4.0
Nick Folk,NE,2022,14,REG,11.0
Nick Folk,NE,2022,15,REG,13.0
Nick Folk,NE,2022,16,REG,0.0
Nick Folk,NE,2022,17,REG,6.0
Nick Folk,NE,2022,18,REG,5.0
Mason Crosby,GB,2022,1,REG,1.0
Mason Crosby,GB,2022,2,REG,10.0
Mason Crosby,GB,2022,3,REG,2.0
Mason Crosby,GB,2022,4,REG,9.0
Mason Crosby,GB,2022,5,REG,10.0
Mason Crosby,GB,2022,6,REG,4.0
Mason Crosby,GB,2022,7,REG,3.0
Mason Crosby,GB,2022,8,REG,5.0
Mason Crosby,GB,2022,9,REG,3.0
Mason Crosby,GB,2022,10,REG,7.0
Mason Crosby,GB,2022,11,REG,3.0
Mason Crosby,GB,2022,12,REG,9.0
Mason Crosby,GB,2022,13,REG,8.0
Mason Crosby,GB,2022,15,REG,6.0
Mason Crosby,GB,2022,16,REG,15.0
Mason Crosby,GB,2022,17,REG,13.0
Mason Crosby,GB,2022,18,REG,12.0
Graham Gano,NYG,2022,1,REG,1.0
Graham Gano,NYG,2022,2,REG,17.0
Graham Gano,NYG,2022,3,REG,15.0
Graham Gano,NYG,2022,4,REG,10.0
Graham Gano,NYG,2022,5,REG,10.0
Graham Gano,NYG,2022,6,REG,6.0
Graham Gano,NYG,2022,7,REG,11.0
Graham Gano,NYG,2022,8,REG,8.0
Graham Gano,NYG,2022,10,REG,7.0
Graham Gano,NYG,2022,11,REG,0.0
Graham Gano,NYG,2022,12,REG,11.0
Graham Gano,NYG,2022,13,REG,9.0
Graham Gano,NYG,2022,14,REG,2.0
Graham Gano,NYG,2022,15,REG,12.0
Graham Gano,NYG,2022,16,REG,14.0
Graham Gano,NYG,2022,17,REG,8.0
Graham Gano,NYG,2022,18,REG,4.0
Ryan Succop,TB,2022,1,REG,15.0
Ryan Succop,TB,2022,2,REG,10.0
Ryan Succop,TB,2022,3,REG,8.0
Ryan Succop,TB,2022,4,REG,8.0
Ryan Succop,TB,2022,5,REG,8.0
Ryan Succop,TB,2022,6,REG,14.0
Ryan Succop,TB,2022,7,REG,3.0
Ryan Succop,TB,2022,8,REG,10.0
Ryan Succop,TB,2022,9,REG,12.0
Ryan Succop,TB,2022,10,REG,3.0
Ryan Succop,TB,2022,12,REG,6.0
Ryan Succop,TB,2022,13,REG,5.0
Ryan Succop,TB,2022,14,REG,1.0
Ryan Succop,TB,2022,15,REG,5.0
Ryan Succop,TB,2022,16,REG,15.0
Ryan Succop,TB,2022,17,REG,4.0
Ryan Succop,TB,2022,18,REG,6.0
Randy Bullock,TEN,2022,1,REG,9.0
Randy Bullock,TEN,2022,2,REG,1.0
Randy Bullock,TEN,2022,3,REG,7.0
Randy Bullock,TEN,2022,4,REG,7.0
Randy Bullock,TEN,2022,5,REG,3.0
Randy Bullock,TEN,2022,7,REG,14.0
Randy Bullock,TEN,2022,8,REG,5.0
Randy Bullock,TEN,2022,9,REG,6.0
Randy Bullock,TEN,2022,10,REG,5.0
Randy Bullock,TEN,2022,13,REG,4.0
Randy Bullock,TEN,2022,14,REG,2.0
Randy Bullock,TEN,2022,15,REG,2.0
Randy Bullock,TEN,2022,16,REG,2.0
Randy Bullock,TEN,2022,17,REG,7.0
Randy Bullock,TEN,2022,18,REG,13.0
Justin Tucker,BAL,2022,1,REG,6.0
Justin Tucker,BAL,2022,2,REG,10.0
Justin Tucker,BAL,2022,3,REG,9.0
Justin Tucker,BAL,2022,4,REG,11.0
Justin Tucker,BAL,2022,5,REG,16.0
Justin Tucker,BAL,2022,6,REG,8.0
Justin Tucker,BAL,2022,7,REG,13.0
Justin Tucker,BAL,2022,8,REG,9.0
Justin Tucker,BAL,2022,9,REG,10.0
Justin Tucker,BAL,2022,11,REG,7.0
Justin Tucker,BAL,2022,12,REG,15.0
Justin Tucker,BAL,2022,13,REG,4.0
Justin Tucker,BAL,2022,14,REG,11.0
Justin Tucker,BAL,2022,15,REG,5.0
Justin Tucker,BAL,2022,16,REG,9.0
Justin Tucker,BAL,2022,17,REG,9.0
Justin Tucker,BAL,2022,18,REG,12.0
Greg Zuerlein,NYJ,2022,1,REG,4.0
Greg Zuerlein,NYJ,2022,2,REG,9.0
Greg Zuerlein,NYJ,2022,3,REG,18.0
Greg Zuerlein,NYJ,2022,4,REG,6.0
Greg Zuerlein,NYJ,2022,5,REG,8.0
Greg Zuerlein,NYJ,2022,6,REG,9.0
Greg Zuerlein,NYJ,2022,7,REG,12.0
Greg Zuerlein,NYJ,2022,8,REG,5.0
Greg Zuerlein,NYJ,2022,9,REG,10.0
Greg Zuerlein,NYJ,2022,11,REG,4.0
Greg Zuerlein,NYJ,2022,12,REG,9.0
Greg Zuerlein,NYJ,2022,13,REG,19.0
Greg Zuerlein,NYJ,2022,14,REG,4.0
Greg Zuerlein,NYJ,2022,15,REG,5.0
Greg Zuerlein,NYJ,2022,16,REG,3.0
Greg Zuerlein,NYJ,2022,17,REG,8.0
Greg Zuerlein,NYJ,2022,18,REG,6.0
Brandon McManus,DEN,2022,1,REG,11.0
Brandon McManus,DEN,2022,2,REG,12.0
Brandon McManus,DEN,2022,3,REG,5.0
Brandon McManus,DEN,2022,4,REG,5.0
Brandon McManus,DEN,2022,5,REG,11.0
Brandon McManus,DEN,2022,6,REG,13.0
Brandon McManus,DEN,2022,7,REG,4.0
Brandon McManus,DEN,2022,8,REG,3.0
Brandon McManus,DEN,2022,10,REG,4.0
Brandon McManus,DEN,2022,11,REG,14.0
Brandon McManus,DEN,2022,12,REG,4.0
Brandon McManus,DEN,2022,13,REG,14.0
Brandon McManus,DEN,2022,14,REG,4.0
Brandon McManus,DEN,2022,15,REG,8.0
Brandon McManus,DEN,2022,16,REG,9.0
Brandon McManus,DEN,2022,17,REG,7.0
Brandon McManus,DEN,2022,18,REG,7.0
Dustin Hopkins,LAC,2022,1,REG,7.0
Dustin Hopkins,LAC,2022,2,REG,6.0
Dustin Hopkins,LAC,2022,3,REG,4.0
Dustin Hopkins,LAC,2022,4,REG,10.0
Dustin Hopkins,LAC,2022,6,REG,13.0
Brett Maher,DAL,2022,1,REG,5.0
Brett Maher,DAL,2022,2,REG,12.0
Brett Maher,DAL,2022,3,REG,12.0
Brett Maher,DAL,2022,4,REG,16.0
Brett Maher,DAL,2022,5,REG,11.0
Brett Maher,DAL,2022,6,REG,5.0
Brett Maher,DAL,2022,7,REG,6.0
Brett Maher,DAL,2022,8,REG,7.0
Brett Maher,DAL,2022,10,REG,4.0
Brett Maher,DAL,2022,11,REG,22.0
Brett Maher,DAL,2022,12,REG,4.0
Brett Maher,DAL,2022,13,REG,6.0
Brett Maher,DAL,2022,14,REG,11.0
Brett Maher,DAL,2022,15,REG,12.0
Brett Maher,DAL,2022,16,REG,18.0
Brett Maher,DAL,2022,17,REG,10.0
Brett Maher,DAL,2022,18,REG,0.0
Chris Boswell,PIT,2022,1,REG,14.0
Chris Boswell,PIT,2022,2,REG,8.0
Chris Boswell,PIT,2022,3,REG,5.0
Chris Boswell,PIT,2022,4,REG,12.0
Chris Boswell,PIT,2022,5,REG,3.0
Chris Boswell,PIT,2022,6,REG,10.0
Chris Boswell,PIT,2022,7,REG,5.0
Chris Boswell,PIT,2022,14,REG,2.0
Chris Boswell,PIT,2022,15,REG,8.0
Chris Boswell,PIT,2022,16,REG,9.0
Chris Boswell,PIT,2022,17,REG,12.0
Chris Boswell,PIT,2022,18,REG,9.0
Cairo Santos,CHI,2022,1,REG,1.0
Cairo Santos,CHI,2022,2,REG,5.0
Cairo Santos,CHI,2022,3,REG,14.0
Cairo Santos,CHI,2022,5,REG,15.0
Cairo Santos,CHI,2022,6,REG,1.0
Cairo Santos,CHI,2022,7,REG,18.0
Cairo Santos,CHI,2022,8,REG,5.0
Cairo Santos,CHI,2022,9,REG,6.0
Cairo Santos,CHI,2022,10,REG,6.0
Cairo Santos,CHI,2022,11,REG,7.0
Cairo Santos,CHI,2022,12,REG,4.0
Cairo Santos,CHI,2022,13,REG,8.0
Cairo Santos,CHI,2022,15,REG,2.0
Cairo Santos,CHI,2022,16,REG,7.0
Cairo Santos,CHI,2022,17,REG,4.0
Cairo Santos,CHI,2022,18,REG,1.0
Jason Myers,SEA,2022,1,REG,6.0
Jason Myers,SEA,2022,2,REG,1.0
Jason Myers,SEA,2022,3,REG,11.0
Jason Myers,SEA,2022,4,REG,14.0
Jason Myers,SEA,2022,5,REG,10.0
Jason Myers,SEA,2022,6,REG,13.0
Jason Myers,SEA,2022,7,REG,16.0
Jason Myers,SEA,2022,8,REG,11.0
Jason Myers,SEA,2022,9,REG,8.0
Jason Myers,SEA,2022,10,REG,6.0
Jason Myers,SEA,2022,12,REG,10.0
Jason Myers,SEA,2022,13,REG,10.0
Jason Myers,SEA,2022,14,REG,6.0
Jason Myers,SEA,2022,15,REG,9.0
Jason Myers,SEA,2022,16,REG,4.0
Jason Myers,SEA,2022,17,REG,11.0
Jason Myers,SEA,2022,18,REG,13.0
Josh Lambo,TEN,2022,11,REG,3.0
Wil Lutz,NO,2022,1,REG,10.0
Wil Lutz,NO,2022,2,REG,4.0
Wil Lutz,NO,2022,3,REG,2.0
Wil Lutz,NO,2022,4,REG,7.0
Wil Lutz,NO,2022,5,REG,9.0
Wil Lutz,NO,2022,6,REG,14.0
Wil Lutz,NO,2022,7,REG,11.0
Wil Lutz,NO,2022,8,REG,6.0
Wil Lutz,NO,2022,9,REG,7.0
Wil Lutz,NO,2022,10,REG,5.0
Wil Lutz,NO,2022,11,REG,10.0
Wil Lutz,NO,2022,12,REG,0.0
Wil Lutz,NO,2022,13,REG,10.0
Wil Lutz,NO,2022,15,REG,3.0
Wil Lutz,NO,2022,16,REG,5.0
Wil Lutz,NO,2022,17,REG,10.0
Wil Lutz,NO,2022,18,REG,1.0
Taylor Bertolet,LAC,2022,5,REG,12.0
