player_display_name,recent_team,season,week,season_type,fantasy_points
Brett Maher,LA,2023,3,REG,11.0
Brett Maher,LA,2023,4,REG,16.0
Brett Maher,LA,2023,5,REG,2.0
Brett Maher,LA,2023,6,REG,15.0
Brett Maher,LA,2023,7,REG,4.0
Brett Maher,LA,2023,18,REG,1.0
Chris Boswell,PIT,2023,1,REG,1.0
Chris Boswell,PIT,2023,2,REG,12.0
Chris Boswell,PIT,2023,3,REG,15.0
Chris Boswell,PIT,2023,4,REG,6.0
Chris Boswell,PIT,2023,5,REG,11.0
Chris Boswell,PIT,2023,7,REG,8.0
Chris Boswell,PIT,2023,8,REG,4.0
Chris Boswell,PIT,2023,9,REG,8.0
Chris Boswell,PIT,2023,10,REG,13.0
Chris Boswell,PIT,2023,11,REG,4.0
Chris Boswell,PIT,2023,12,REG,11.0
Chris Boswell,PIT,2023,13,REG,4.0
Chris Boswell,PIT,2023,14,REG,6.0
Chris Boswell,PIT,2023,15,REG,1.0
Chris Boswell,PIT,2023,16,REG,12.0
Chris Boswell,PIT,2023,17,REG,12.0
Chris Boswell,PIT,2023,18,REG,5.0
Cairo Santos,CHI,2023,1,REG,7.0
Cairo Santos,CHI,2023,2,REG,7.0
Cairo Santos,CHI,2023,3,REG,4.0
Cairo Santos,CHI,2023,4,REG,4.0
Cairo Santos,CHI,2023,5,REG,17.0
Cairo Santos,CHI,2023,6,REG,9.0
Cairo Santos,CHI,2023,7,REG,8.0
Cairo Santos,CHI,2023,8,REG,1.0
Cairo Santos,CHI,2023,9,REG,5.0
Cairo Santos,CHI,2023,10,REG,12.0
Cairo Santos,CHI,2023,11,REG,17.0
Cairo Santos,CHI,2023,12,REG,14.0
Cairo Santos,CHI,2023,14,REG,11.0
Cairo Santos,CHI,2023,15,REG,6.0
Cairo Santos,CHI,2023,16,REG,10.0
Cairo Santos,CHI,2023,17,REG,15.0
Cairo Santos,CHI,2023,18,REG,11.0
Jason Myers,SEA,2023,1,REG,8.0
Jason Myers,SEA,2023,2,REG,7.0
Jason Myers,SEA,2023,3,REG,18.0
Jason Myers,SEA,2023,4,REG,6.0
Jason Myers,SEA,2023,6,REG,9.0
Jason Myers,SEA,2023,7,REG,9.0
Jason Myers,SEA,2023,8,REG,6.0
Jason Myers,SEA,2023,9,REG,3.0
Jason Myers,SEA,2023,10,REG,21.0
Jason Myers,SEA,2023,11,REG,15.0
Jason Myers,SEA,2023,12,REG,9.0
Jason Myers,SEA,2023,13,REG,5.0
Jason Myers,SEA,2023,14,REG,5.0
Jason Myers,SEA,2023,15,REG,9.0
Jason Myers,SEA,2023,16,REG,8.0
Jason Myers,SEA,2023,17,REG,13.0
Jason Myers,SEA,2023,18,REG,7.0
Wil Lutz,DEN,2023,1,REG,4.0
Wil Lutz,DEN,2023,2,REG,9.0
Wil Lutz,DEN,2023,3,REG,8.0
Wil Lutz,DEN,2023,4,REG,9.0
Wil Lutz,DEN,2023,5,REG,7.0
Wil Lutz,DEN,2023,7,REG,15.0
Wil Lutz,DEN,2023,8,REG,6.0
Wil Lutz,DEN,2023,10,REG,15.0
Wil Lutz,DEN,2023,11,REG,17.0
Wil Lutz,DEN,2023,12,REG,9.0
Wil Lutz,DEN,2023,13,REG,5.0
Wil Lutz,DEN,2023,14,REG,6.0
Wil Lutz,DEN,2023,15,REG,5.0
Wil Lutz,DEN,2023,16,REG,1.0
Wil Lutz,DEN,2023,17,REG,11.0
Wil Lutz,DEN,2023,18,REG,2.0
Ka'imi Fairbairn,HOU,2023,1,REG,9.0
Ka'imi Fairbairn,HOU,2023,2,REG,8.0
Ka'imi Fairbairn,HOU,2023,3,REG,13.0
Ka'imi Fairbairn,HOU,2023,4,REG,12.0
Ka'imi Fairbairn,HOU,2023,5,REG,15.0
Ka'imi Fairbairn,HOU,2023,6,REG,8.0
Ka'imi Fairbairn,HOU,2023,8,REG,1.0
Ka'imi Fairbairn,HOU,2023,9,REG,6.0
Ka'imi Fairbairn,HOU,2023,15,REG,17.0
Ka'imi Fairbairn,HOU,2023,16,REG,2.0
Ka'imi Fairbairn,HOU,2023,17,REG,16.0
Ka'imi Fairbairn,HOU,2023,18,REG,7.0
Harrison Butker,KC,2023,1,REG,8.0
Harrison Butker,KC,2023,2,REG,5.0
Harrison Butker,KC,2023,3,REG,12.0
Harrison Butker,KC,2023,4,REG,11.0
Harrison Butker,KC,2023,5,REG,10.0
Harrison Butker,KC,2023,6,REG,17.0
Harrison Butker,KC,2023,7,REG,7.0
Harrison Butker,KC,2023,8,REG,11.0
Harrison Butker,KC,2023,9,REG,3.0
Harrison Butker,KC,2023,11,REG,6.0
Harrison Butker,KC,2023,12,REG,7.0
Harrison Butker,KC,2023,13,REG,7.0
Harrison Butker,KC,2023,14,REG,5.0
Harrison Butker,KC,2023,15,REG,11.0
Harrison Butker,KC,2023,16,REG,2.0
Harrison Butker,KC,2023,17,REG,24.0
Harrison Butker,KC,2023,18,REG,8.0
Younghoe Koo,ATL,2023,1,REG,7.0
Younghoe Koo,ATL,2023,2,REG,13.0
Younghoe Koo,ATL,2023,3,REG,7.0
Younghoe Koo,ATL,2023,4,REG,1.0
Younghoe Koo,ATL,2023,5,REG,7.0
Younghoe Koo,ATL,2023,6,REG,5.0
Younghoe Koo,ATL,2023,7,REG,13.0
Younghoe Koo,ATL,2023,8,REG,12.0
Younghoe Koo,ATL,2023,9,REG,19.0
Younghoe Koo,ATL,2023,10,REG,5.0
Younghoe Koo,ATL,2023,12,REG,6.0
Younghoe Koo,ATL,2023,13,REG,8.0
Younghoe Koo,ATL,2023,14,REG,5.0
Younghoe Koo,ATL,2023,15,REG,1.0
Younghoe Koo,ATL,2023,16,REG,19.0
Younghoe Koo,ATL,2023,17,REG,5.0
Younghoe Koo,ATL,2023,18,REG,5.0
Jake Elliott,PHI,2023,1,REG,18.0
Jake Elliott,PHI,2023,2,REG,12.0
Jake Elliott,PHI,2023,3,REG,11.0
Jake Elliott,PHI,2023,4,REG,18.0
Jake Elliott,PHI,2023,5,REG,11.0
Jake Elliott,PHI,2023,6,REG,2.0
Jake Elliott,PHI,2023,7,REG,7.0
Jake Elliott,PHI,2023,8,REG,10.0
Jake Elliott,PHI,2023,9,REG,4.0
Jake Elliott,PHI,2023,11,REG,3.0
Jake Elliott,PHI,2023,12,REG,9.0
Jake Elliott,PHI,2023,13,REG,7.0
Jake Elliott,PHI,2023,14,REG,10.0
Jake Elliott,PHI,2023,15,REG,5.0
Jake Elliott,PHI,2023,16,REG,17.0
Jake Elliott,PHI,2023,17,REG,8.0
Jake Elliott,PHI,2023,18,REG,4.0
Michael Badgley,DET,2023,15,REG,6.0
Michael Badgley,DET,2023,16,REG,6.0
Michael Badgley,DET,2023,17,REG,8.0
Michael Badgley,DET,2023,18,REG,6.0
Daniel Carlson,LV,2023,1,REG,5.0
Daniel Carlson,LV,2023,2,REG,5.0
Daniel Carlson,LV,2023,3,REG,4.0
Daniel Carlson,LV,2023,4,REG,5.0
Daniel Carlson,LV,2023,5,REG,5.0
Daniel Carlson,LV,2023,6,REG,13.0
Daniel Carlson,LV,2023,7,REG,7.0
Daniel Carlson,LV,2023,8,REG,2.0
Daniel Carlson,LV,2023,9,REG,14.0
Daniel Carlson,LV,2023,10,REG,14.0
Daniel Carlson,LV,2023,11,REG,8.0
Daniel Carlson,LV,2023,12,REG,5.0
Daniel Carlson,LV,2023,15,REG,9.0
