player_display_name,recent_team,season,week,season_type,fantasy_points
Matt Prater,ARI,2024,1,REG,8.0
Matt Prater,ARI,2024,2,REG,14.0
Matt Prater,ARI,2024,3,REG,9.0
Matt Prater,ARI,2024,4,REG,2.0
Nick Folk,TEN,2024,1,REG,6.0
Nick Folk,TEN,2024,2,REG,6.0
Nick Folk,TEN,2024,3,REG,2.0
Nick Folk,TEN,2024,4,REG,24.0
Nick Folk,TEN,2024,6,REG,6.0
Nick Folk,TEN,2024,7,REG,4.0
Nick Folk,TEN,2024,8,REG,2.0
Nick Folk,TEN,2024,9,REG,8.0
Nick Folk,TEN,2024,10,REG,5.0
Nick Folk,TEN,2024,11,REG,8.0
Nick Folk,TEN,2024,12,REG,18.0
Nick Folk,TEN,2024,13,REG,9.0
Nick Folk,TEN,2024,14,REG,7.0
Nick Folk,TEN,2024,15,REG,3.0
Graham Gano,NYG,2024,1,REG,8.0
Graham Gano,NYG,2024,10,REG,6.0
Graham Gano,NYG,2024,12,REG,1.0
Graham Gano,NYG,2024,13,REG,10.0
Graham Gano,NYG,2024,14,REG,4.0
Graham Gano,NYG,2024,15,REG,2.0
Graham Gano,NYG,2024,16,REG,1.0
Graham Gano,NYG,2024,17,REG,9.0
Graham Gano,NYG,2024,18,REG,9.0
Justin Tucker,BAL,2024,1,REG,8.0
Justin Tucker,BAL,2024,2,REG,13.0
Justin Tucker,BAL,2024,3,REG,4.0
Justin Tucker,BAL,2024,4,REG,5.0
Justin Tucker,BAL,2024,5,REG,13.0
Justin Tucker,BAL,2024,6,REG,13.0
Justin Tucker,BAL,2024,7,REG,13.0
Justin Tucker,BAL,2024,8,REG,7.0
Justin Tucker,BAL,2024,9,REG,11.0
Justin Tucker,BAL,2024,10,REG,3.0
Justin Tucker,BAL,2024,11,REG,6.0
Justin Tucker,BAL,2024,12,REG,7.0
Justin Tucker,BAL,2024,13,REG,9.0
Justin Tucker,BAL,2024,15,REG,5.0
Justin Tucker,BAL,2024,16,REG,12.0
Justin Tucker,BAL,2024,17,REG,9.0
Justin Tucker,BAL,2024,18,REG,5.0
Greg Zuerlein,NYJ,2024,1,REG,1.0
Greg Zuerlein,NYJ,2024,2,REG,6.0
Greg Zuerlein,NYJ,2024,3,REG,6.0
Greg Zuerlein,NYJ,2024,4,REG,10.0
Greg Zuerlein,NYJ,2024,5,REG,5.0
Greg Zuerlein,NYJ,2024,6,REG,8.0
Greg Zuerlein,NYJ,2024,7,REG,1.0
Greg Zuerlein,NYJ,2024,8,REG,4.0
Brandon McManus,GB,2024,7,REG,7.0
Brandon McManus,GB,2024,8,REG,12.0
Brandon McManus,GB,2024,9,REG,6.0
Brandon McManus,GB,2024,11,REG,2.0
Brandon McManus,GB,2024,12,REG,10.0
Brandon McManus,GB,2024,13,REG,13.0
Brandon McManus,GB,2024,14,REG,7.0
Brandon McManus,GB,2024,15,REG,12.0
Brandon McManus,GB,2024,16,REG,13.0
Brandon McManus,GB,2024,17,REG,5.0
Brandon McManus,GB,2024,18,REG,12.0
Dustin Hopkins,CLE,2024,1,REG,7.0
Dustin Hopkins,CLE,2024,2,REG,13.0
Dustin Hopkins,CLE,2024,3,REG,1.0
Dustin Hopkins,CLE,2024,4,REG,6.0
Dustin Hopkins,CLE,2024,5,REG,9.0
Dustin Hopkins,CLE,2024,6,REG,12.0
Dustin Hopkins,CLE,2024,7,REG,0.0
Dustin Hopkins,CLE,2024,8,REG,12.0
Dustin Hopkins,CLE,2024,9,REG,4.0
Dustin Hopkins,CLE,2024,11,REG,0.0
Dustin Hopkins,CLE,2024,12,REG,4.0
Dustin Hopkins,CLE,2024,13,REG,7.0
Dustin Hopkins,CLE,2024,14,REG,2.0
