player_display_name,recent_team,season,week,season_type,fantasy_points
Robbie Gould,SF,2021,1,REG,14.0
Robbie Gould,SF,2021,2,REG,6.0
Robbie Gould,SF,2021,3,REG,4.0
Robbie Gould,SF,2021,9,REG,5.0
Robbie Gould,SF,2021,10,REG,9.0
Robbie Gould,SF,2021,11,REG,14.0
Robbie Gould,SF,2021,12,REG,11.0
Robbie Gould,SF,2021,13,REG,7.0
Robbie Gould,SF,2021,14,REG,8.0
Robbie Gould,SF,2021,15,REG,7.0
Robbie Gould,SF,2021,16,REG,6.0
Robbie Gould,SF,2021,17,REG,11.0
Robbie Gould,SF,2021,18,REG,10.0
Matt Prater,ARI,2021,1,REG,8.0
Matt Prater,ARI,2021,2,REG,12.0
Matt Prater,ARI,2021,3,REG,7.0
Matt Prater,ARI,2021,4,REG,15.0
Matt Prater,ARI,2021,5,REG,5.0
Matt Prater,ARI,2021,6,REG,15.0
Matt Prater,ARI,2021,7,REG,7.0
Matt Prater,ARI,2021,8,REG,3.0
Matt Prater,ARI,2021,9,REG,7.0
Matt Prater,ARI,2021,10,REG,5.0
Matt Prater,ARI,2021,11,REG,7.0
Matt Prater,ARI,2021,13,REG,9.0
Matt Prater,ARI,2021,14,REG,16.0
Matt Prater,ARI,2021,15,REG,6.0
Matt Prater,ARI,2021,16,REG,4.0
Matt Prater,ARI,2021,17,REG,15.0
Matt Prater,ARI,2021,18,REG,13.0
Nick Folk,NE,2021,1,REG,11.0
Nick Folk,NE,2021,2,REG,15.0
Nick Folk,NE,2021,3,REG,8.0
Nick Folk,NE,2021,4,REG,5.0
Nick Folk,NE,2021,5,REG,17.0
Nick Folk,NE,2021,6,REG,3.0
Nick Folk,NE,2021,7,REG,14.0
Nick Folk,NE,2021,8,REG,15.0
Nick Folk,NE,2021,9,REG,6.0
Nick Folk,NE,2021,10,REG,9.0
Nick Folk,NE,2021,11,REG,16.0
Nick Folk,NE,2021,12,REG,21.0
Nick Folk,NE,2021,13,REG,7.0
Nick Folk,NE,2021,15,REG,5.0
Nick Folk,NE,2021,16,REG,3.0
Nick Folk,NE,2021,17,REG,9.0
Nick Folk,NE,2021,18,REG,7.0
Mason Crosby,GB,2021,1,REG,3.0
Mason Crosby,GB,2021,2,REG,5.0
Mason Crosby,GB,2021,3,REG,16.0
Mason Crosby,GB,2021,4,REG,9.0
Mason Crosby,GB,2021,5,REG,16.0
Mason Crosby,GB,2021,6,REG,6.0
Mason Crosby,GB,2021,7,REG,6.0
Mason Crosby,GB,2021,8,REG,6.0
Mason Crosby,GB,2021,9,REG,1.0
Mason Crosby,GB,2021,10,REG,5.0
Mason Crosby,GB,2021,11,REG,9.0
Mason Crosby,GB,2021,12,REG,13.0
Mason Crosby,GB,2021,14,REG,9.0
Mason Crosby,GB,2021,15,REG,7.0
Mason Crosby,GB,2021,16,REG,6.0
Mason Crosby,GB,2021,17,REG,13.0
Mason Crosby,GB,2021,18,REG,4.0
Graham Gano,NYG,2021,1,REG,1.0
Graham Gano,NYG,2021,2,REG,22.0
Graham Gano,NYG,2021,3,REG,6.0
Graham Gano,NYG,2021,4,REG,8.0
Graham Gano,NYG,2021,5,REG,12.0
Graham Gano,NYG,2021,6,REG,3.0
Graham Gano,NYG,2021,7,REG,15.0
Graham Gano,NYG,2021,8,REG,5.0
Graham Gano,NYG,2021,9,REG,11.0
Graham Gano,NYG,2021,11,REG,4.0
Graham Gano,NYG,2021,12,REG,7.0
Graham Gano,NYG,2021,13,REG,11.0
Graham Gano,NYG,2021,14,REG,1.0
Graham Gano,NYG,2021,15,REG,7.0
Graham Gano,NYG,2021,16,REG,6.0
Graham Gano,NYG,2021,17,REG,3.0
Graham Gano,NYG,2021,18,REG,1.0
Ryan Succop,TB,2021,1,REG,7.0
Ryan Succop,TB,2021,2,REG,6.0
Ryan Succop,TB,2021,3,REG,6.0
Ryan Succop,TB,2021,4,REG,15.0
Ryan Succop,TB,2021,5,REG,10.0
Ryan Succop,TB,2021,6,REG,4.0
Ryan Succop,TB,2021,7,REG,8.0
Ryan Succop,TB,2021,8,REG,3.0
Ryan Succop,TB,2021,10,REG,7.0
Ryan Succop,TB,2021,11,REG,13.0
Ryan Succop,TB,2021,12,REG,8.0
Ryan Succop,TB,2021,13,REG,6.0
Ryan Succop,TB,2021,14,REG,9.0
Ryan Succop,TB,2021,15,REG,0.0
Ryan Succop,TB,2021,16,REG,16.0
Ryan Succop,TB,2021,17,REG,8.0
Ryan Succop,TB,2021,18,REG,12.0
Randy Bullock,TEN,2021,2,REG,15.0
Randy Bullock,TEN,2021,3,REG,5.0
Randy Bullock,TEN,2021,4,REG,12.0
Randy Bullock,TEN,2021,5,REG,7.0
Randy Bullock,TEN,2021,6,REG,11.0
Randy Bullock,TEN,2021,7,REG,11.0
Randy Bullock,TEN,2021,8,REG,12.0
Randy Bullock,TEN,2021,9,REG,4.0
Randy Bullock,TEN,2021,10,REG,11.0
Randy Bullock,TEN,2021,11,REG,1.0
Randy Bullock,TEN,2021,12,REG,1.0
Randy Bullock,TEN,2021,14,REG,9.0
Randy Bullock,TEN,2021,15,REG,7.0
Randy Bullock,TEN,2021,16,REG,9.0
Randy Bullock,TEN,2021,17,REG,11.0
Randy Bullock,TEN,2021,18,REG,4.0
Justin Tucker,BAL,2021,1,REG,11.0
Justin Tucker,BAL,2021,2,REG,7.0
Justin Tucker,BAL,2021,3,REG,17.0
Justin Tucker,BAL,2021,4,REG,13.0
Justin Tucker,BAL,2021,5,REG,3.0
Justin Tucker,BAL,2021,6,REG,12.0
Justin Tucker,BAL,2021,7,REG,6.0
Justin Tucker,BAL,2021,9,REG,10.0
Justin Tucker,BAL,2021,10,REG,5.0
Justin Tucker,BAL,2021,11,REG,11.0
Justin Tucker,BAL,2021,12,REG,13.0
Justin Tucker,BAL,2021,13,REG,7.0
Justin Tucker,BAL,2021,14,REG,15.0
Justin Tucker,BAL,2021,15,REG,6.0
Justin Tucker,BAL,2021,16,REG,3.0
Justin Tucker,BAL,2021,17,REG,15.0
Justin Tucker,BAL,2021,18,REG,8.0
