name,pos,team,adp,mu,player_id,mu_hat,sigma_hat,is_rookie
Ray Davis,RB,BUF,173.7,74.95390032490597,169,89.47460522743418,30.310422084754297,False
Kansas City Chiefs,DST,KC,173.8,48.19762722109333,170,48.19762722109333,24.09881361054664,False
Xavier Legette,WR,CAR,177.2,80.59221219481698,171,98.94854853637187,26.879351444694,False
Cam Ward,QB,TEN,178.3,100.0,172,90.0,70.00824203462084,True
Matthew Stafford,QB,LAR,180.5,100.0,173,144.60335499377118,36.58158284459751,False
Michael Penix Jr.,QB,ATL,185.0,100.0,174,114.982,31.72368711340324,False
Isaiah Likely,TE,NYG,194.0,66.33977243099407,175,86.43437566474302,28.61654516839186,False
Seattle Seahawks,DST,SEA,197.0,43.86830795926183,176,43.86830795926183,21.934153979630924,False
Arizona Cardinals,DST,ARI,197.3,39.92786687155469,177,39.92786687155469,19.963933435777367,False
Brenton Strange,TE,JAC,197.5,61.23932834662013,178,73.03364924561916,20.709258268709586,False
Cedric Tillman,WR,CLE,199.3,78.6326208863445,179,90.52595754402918,28.38651343935275,False
Robbie Gould,K,SF,184.8,180.0,180,168.99627329192543,23.17638185360104,False
Cam Little,K,JAX,186.5,169.64323116801853,181,156.55026181761298,23.934282255274827,False
Brandon McManus,K,GB,188.3,159.88236600625427,182,155.42476403561554,21.6125753937893,False
Evan McPherson,K,CIN,190.0,150.68311764493745,183,147.23858630958733,21.918313345768805,False
Jake Moody,K,SF,191.7,142.01317199865477,184,140.9190705061247,22.375556357805223,False
Cairo Santos,K,CHI,193.5,133.84207425706313,185,130.66839203807453,20.415547627352872,False
Harrison Butker,K,KC,195.2,126.14112190665591,186,130.3835423696744,21.399528765539323,False
Greg Joseph,K,NYJ,197.0,118.88326390780018,187,123.02530957168713,22.127388911562893,False
Joey Slye,K,NE,198.7,112.04300567288611,188,113.39545132611948,19.865119229959348,False
Greg Zuerlein,K,NYJ,200.4,105.59631951180573,189,114.34265062058424,22.89540534374139,False
Eddy Pineiro,K,CAR,202.2,99.52056023018446,190,105.17927356387936,20.312130532268604,False
Chad Ryland,K,ARI,203.9,93.7943855838883,191,105.32143688119888,22.0449317249581,False
Dustin Hopkins,K,CLE,205.7,88.39768131038792,192,98.00131255670195,22.954129979619264,False
Brett Maher,K,LA,207.4,83.31149047363871,193,106.60136168264505,29.06116756824726,False
Matt Prater,K,ARI,209.1,78.51794687428703,194,96.69654327044154,23.449113676078134,False
Anders Carlson,K,NYJ,210.9,74.00021229129374,195,92.58455227363038,21.300827124507016,False
Graham Gano,K,NYG,212.6,69.74241733452439,196,82.66555888038124,22.386225346096154,False
Mason Crosby,K,NYG,214.3,65.72960570053968,197,83.77710958420369,22.349429131827993,False
Riley Patterson,K,ATL,216.1,61.947681635774224,198,79.13481746018691,21.45156394513612,False
Cade York,K,CIN,217.8,58.38336042255813,199,78.67609292850327,23.407869465498397,False
Michael Badgley,K,DET,219.6,55.024121714054296,200,79.6871487503104,22.113785057781723,False
Randy Bullock,K,NYG,221.3,51.85816555419167,201,69.05320345012319,20.601765934072052,False
Lucas Havrisik,K,LA,223.0,48.87437092810618,202,73.878726316341,26.791318312349414,False
Zane Gonzalez,K,WAS,224.8,46.06225669749,203,66.87801037666918,25.362852656401298,False
Austin Seibert,K,WAS,226.5,45.0,204,89.8847216463348,22.907613364500953,False
Matthew Wright,K,TEN,228.3,45.0,205,80.55743279587526,22.53554115772823,False
Matt Ammendola,K,HOU,230.0,45.0,206,60.61073318216175,16.203483669424994,False
Generic_RB1,RB,GENRB00,290.0,70.0,207,70.0,34.48285510213586,False
Generic_RB2,RB,GENRB01,291.0,70.0,208,70.0,34.48285510213586,False
Generic_RB3,RB,GENRB02,292.0,70.0,209,70.0,34.48285510213586,False
Generic_RB4,RB,GENRB03,293.0,70.0,210,70.0,34.48285510213586,False
Generic_RB5,RB,GENRB04,294.0,70.0,211,70.0,34.48285510213586,False
Generic_RB6,RB,GENRB05,295.0,70.0,212,70.0,34.48285510213586,False
Generic_RB7,RB,GENRB06,296.0,70.0,213,70.0,34.48285510213586,False
Generic_RB8,RB,GENRB07,297.0,70.0,214,70.0,34.48285510213586,False
Generic_RB9,RB,GENRB08,298.0,70.0,215,70.0,34.48285510213586,False
Generic_RB10,RB,GENRB09,299.0,70.0,216,70.0,34.48285510213586,False
Generic_RB11,RB,GENRB10,300.0,70.0,217,70.0,34.48285510213586,False
Generic_RB12,RB,GENRB11,301.0,70.0,218,70.0,34.48285510213586,False
Generic_RB13,RB,GENRB12,302.0,70.0,219,70.0,34.48285510213586,False
Generic_RB14,RB,GENRB13,303.0,70.0,220,70.0,34.48285510213586,False
Generic_RB15,RB,GENRB14,304.0,70.0,221,70.0,34.48285510213586,False
Generic_RB16,RB,GENRB15,305.0,70.0,222,70.0,34.48285510213586,False
Generic_RB17,RB,GENRB16,306.0,70.0,223,70.0,34.48285510213586,False
Generic_RB18,RB,GENRB17,307.0,70.0,224,70.0,34.48285510213586,False
Generic_RB19,RB,GENRB18,308.0,70.0,225,70.0,34.48285510213586,False
Generic_RB20,RB,GENRB19,309.0,70.0,226,70.0,34.48285510213586,False
Generic_WR1,WR,GENWR00,340.0,70.0,227,70.0,34.28982135270613,False
Generic_WR2,WR,GENWR01,341.0,70.0,228,70.0,34.28982135270613,False
Generic_WR3,WR,GENWR02,342.0,70.0,229,70.0,34.28982135270613,False
Generic_WR4,WR,GENWR03,343.0,70.0,230,70.0,34.28982135270613,False
Generic_WR5,WR,GENWR04,344.0,70.0,231,70.0,34.28982135270613,False
Generic_WR6,WR,GENWR05,345.0,70.0,232,70.0,34.28982135270613,False
Generic_WR7,WR,GENWR06,346.0,70.0,233,70.0,34.28982135270613,False
Generic_WR8,WR,GENWR07,347.0,70.0,234,70.0,34.28982135270613,False
Generic_WR9,WR,GENWR08,348.0,70.0,235,70.0,34.28982135270613,False
Generic_WR10,WR,GENWR09,349.0,70.0,236,70.0,34.28982135270613,False
Generic_WR11,WR,GENWR10,350.0,70.0,237,70.0,34.28982135270613,False
Generic_WR12,WR,GENWR11,351.0,70.0,238,70.0,34.28982135270613,False
Generic_WR13,WR,GENWR12,352.0,70.0,239,70.0,34.28982135270613,False
Generic_WR14,WR,GENWR13,353.0,70.0,240,70.0,34.28982135270613,False
Generic_WR15,WR,GENWR14,354.0,70.0,241,70.0,34.28982135270613,False
Generic_WR16,WR,GENWR15,355.0,70.0,242,70.0,34.28982135270613,False
Generic_WR17,WR,GENWR16,356.0,70.0,243,70.0,34.28982135270613,False
Generic_WR18,WR,GENWR17,357.0,70.0,244,70.0,34.28982135270613,False
Generic_WR19,WR,GENWR18,358.0,70.0,245,70.0,34.28982135270613,False
Generic_TE1,TE,GENTE00,390.0,60.0,246,60.0,30.223308322864227,False
Generic_TE2,TE,GENTE01,391.0,60.0,247,60.0,30.223308322864227,False
Generic_TE3,TE,GENTE02,392.0,60.0,248,60.0,30.223308322864227,False
Generic_TE4,TE,GENTE03,393.0,60.0,249,60.0,30.223308322864227,False
