name,pos,team,adp
Jordan Love,QB,GB,119.9
Marquise Brown,WR,PHI,120.6
Green Bay Defense,DST,GB,121.1
Rhamondre Stevenson,RB,NE,122.1
Quinshon Judkins,RB,CLE,125.2
Trevor Lawrence,QB,JAX,127.1
Marvin Mims Jr.,WR,DEN,127.6
Jerome Ford,RB,WAS,127.9
Rashod Bateman,WR,BAL,128.2
C.J. Stroud,QB,HOU,129.2
Dallas Goedert,TE,PHI,129.9
Jayden Higgins,WR,HOU,130.2
Buffalo Defense,DST,BUF,130.7
Cam Skattebo,RB,NYG,131.2
Nick Chubb,RB,FA,133.5
Houston Defense,DST,HOU,136.3
Tank Bigsby,RB,PHI,136.7
Tua Tagovailoa,QB,ATL,136.9
Trey Benson,RB,ARI,137.1
Brandon Aubrey,K,DAL,137.2
Dalton Kincaid,TE,BUF,139.7
San Francisco Defense,DST,SF,139.8
Minnesota Defense,DST,MIN,140.7
Bryce Young,QB,CAR,141.5
DeMario Douglas,WR,NE,141.7
Detroit Defense,DST,DET,143.2
Joe Mixon,RB,FA,143.3
Brandon Aiyuk,WR,SF,143.5
Cam Little,K,JAX,144.0
Adam Thielen,WR,FA,144.5
Jake Bates,K,DET,144.8
Kyle Pitts Sr.,TE,ATL,144.9
Cameron Dicker,K,LAC,146.0
Colston Loveland,TE,CHI,147.1
Geno Smith,QB,NYJ,147.9
Jaydon Blue,RB,DAL,149.7
Luther Burden III,WR,CHI,150.3
Bhayshul Tuten,RB,JAX,150.5
Evan McPherson,K,CIN,151.2
Zach Ertz,TE,FA,151.2
LA Rams Defense,DST,LAR,151.5
Tyler Allgeier,RB,ARI,154.0
Braelon Allen,RB,NYJ,155.6
Tyjae Spears,RB,TEN,156.7
Ollie Gordon II,RB,MIA,159.0
Green Bay Packers,DST,GB,160.0
Ka'imi Fairbairn,K,HOU,161.5
Dont'e Thornton Jr.,WR,LV,163.7
Hunter Henry,TE,NE,164.7
San Francisco 49ers,DST,SF,166.0
Jake Elliott,K,PHI,167.0
Tyler Bass,K,BUF,167.8
Detroit Lions,DST,DET,168.0
Amari Cooper,WR,FA,169.1
Daniel Carlson,K,FA,169.6
Hollywood Brown,WR,PHI,170.3
Dylan Sampson,RB,CLE,171.7
Harrison Butker,K,KC,171.7
Ray Davis,RB,BUF,173.7
Kansas City Chiefs,DST,KC,173.8
Xavier Legette,WR,CAR,177.2
Cam Ward,QB,TEN,178.3
Matthew Stafford,QB,LAR,180.5
Michael Penix Jr.,QB,ATL,185.0
Wil Lutz,K,DEN,192.0
Isaiah Likely,TE,NYG,194.0
Seattle Seahawks,DST,SEA,197.0
Arizona Cardinals,DST,ARI,197.3
Brenton Strange,TE,JAC,197.5
Cedric Tillman,WR,CLE,199.3
